Geo Point;NOMLONG;LIGNE;RESEAU
48.8465346367, 2.28599922342;CHARLES MICHELS;10;METRO
48.8570599663, 2.34771187993;CHATELET;7;METRO
48.8731092743, 2.33345121858;CHAUSSEE D'ANTIN (LA FAYETTE);7;METRO
48.8510502823, 2.34427334542;CLUNY-LA-SORBONNE;10;METRO
48.8753549577, 2.32481828506;SAINT-LAZARE;13;METRO
48.8750063981, 2.32457481029;SAINT-LAZARE;3;METRO
48.8720238095, 2.30056045125;GEORGE V;1;METRO
48.8699575127, 2.37109483973;GONCOURT (HOPITAL SAINT-LOUIS);11;METRO
48.8649166851, 2.39898444025;GAMBETTA;3;METRO
48.8735133896, 2.32754308036;HAVRE-CAUMARTIN;3;METRO
48.8737134067, 2.32769540963;HAVRE-CAUMARTIN;9;METRO
48.8759910648, 2.35788077193;GARE DE L'EST;4;METRO
48.8460276494, 2.37496291887;GARE DE LYON;1;METRO
48.8623647041, 2.31390957779;INVALIDES;13;METRO
48.8824652456, 2.37015796174;JAURES;7b;METRO
48.9207859699, 2.41059861373;LA COURNEUVE 8 MAI 1945;7;METRO
48.8754537705, 2.32678520026;SAINT-LAZARE;12;METRO
48.8225837068, 2.29846419197;MALAKOFF-PLATEAU DE VANVES;13;METRO
48.8914650003, 2.34981545185;MARCADET-POISSONNIERS;12;METRO
48.8337088491, 2.24384059238;MARCEL SEMBAT;9;METRO
48.8904854538, 2.35999576641;MARX DORMOY;12;METRO
48.8668000351, 2.38338325046;MENILMONTANT;2;METRO
48.8737095277, 2.31460632162;MIROMESNIL;9;METRO
48.8804494561, 2.30945116799;MONCEAU;2;METRO
48.8921870764, 2.2370180564;LA DEFENSE-GRANDE ARCHE;1;METRO
48.8487416657, 2.29893091175;LA MOTTE-PICQUET-GRENELLE;6;METRO
48.8896740712, 2.3387606492;LAMARCK-CAULAINCOURT;12;METRO
48.8748743434, 2.34019988439;LE PELETIER;7;METRO
48.8623162787, 2.34567382822;LES HALLES;4;METRO
48.8701642009, 2.35049797186;BONNE NOUVELLE;9;METRO
48.8407450152, 2.2285369815;BOULOGNE-PONT DE SAINT CLOUD;10;METRO
48.8321105601, 2.23863934858;BILLANCOURT;9;METRO
48.892082786, 2.28500950275;ANATOLE FRANCE;3;METRO
48.9037599302, 2.39228705964;AUBERVILLIERS-PANTIN (QUATRE CHEMINS);7;METRO
48.8403887481, 2.37991127145;BERCY;6;METRO
48.8297905137, 2.35041487201;CORVISART;6;METRO
48.7967407666, 2.44943317569;CRETEIL-L'ECHAT (HOPITAL MONDOR);8;METRO
48.8579655912, 2.43555571569;CROIX DE CHAVAUX (JACQUES DUCLOS);9;METRO
48.8395496456, 2.39570328944;DAUMESNIL;6;METRO
48.8394454284, 2.39618288645;DAUMESNIL;8;METRO
48.8758906819, 2.34412603046;CADET;7;METRO
48.8466568513, 2.35162325638;CARDINAL-LEMOINE;10;METRO
48.8676021452, 2.31389412912;CHAMPS-ELYSEES-CLEMENCEAU;13;METRO
48.8873749106, 2.3496940822;CHATEAU ROUGE;4;METRO
48.8587991981, 2.34730585275;CHATELET;1;METRO
48.8577088197, 2.34794431111;CHATELET;14;METRO
48.8776101874, 2.37081139531;COLONEL FABIEN;2;METRO
48.8386316462, 2.32249174982;GAITE;13;METRO
48.8653353173, 2.41669727286;GALLIENI (PARC DE BAGNOLET);3;METRO
48.8912285932, 2.40235214254;HOCHE;5;METRO
48.8574779825, 2.35157756299;HOTEL DE VILLE;1;METRO
48.8574518326, 2.35100846139;HOTEL DE VILLE;11;METRO
48.8501778619, 2.38409221007;FAIDHERBE-CHALIGNY;8;METRO
48.843985582, 2.37301421994;GARE DE LYON;14;METRO
48.8623253291, 2.31513843219;INVALIDES;8;METRO
48.87080998, 2.36102746692;JACQUES BONSERGENT;5;METRO
48.8814985959, 2.37026212666;JAURES;2;METRO
48.8924395905, 2.34465700413;JULES JOFFRIN;12;METRO
48.8716497691, 2.29352429034;KLEBER;6;METRO
48.8479348079, 2.26421877705;MICHEL-ANGE-AUTEUIL;10;METRO
48.8471310082, 2.27276375332;MIRABEAU;10;METRO
48.8577254129, 2.31056596095;LA TOUR MAUBOURG;8;METRO
48.8101299573, 2.36226338713;LE KREMLIN-BICETRE;7;METRO
48.8811915206, 2.27168672105;LES SABLONS (JARDIN D'ACCLIMATATION);1;METRO
48.8701642009, 2.35049797186;BONNE NOUVELLE;8;METRO
48.8523154274, 2.38937812792;RUE DES BOULETS;9;METRO
48.8563773572, 2.39456194456;ALEXANDRE DUMAS;2;METRO
48.8534369623, 2.36873657263;BASTILLE;5;METRO
48.8413382509, 2.40091853812;BEL-AIR;6;METRO
48.8400013895, 2.3795540112;BERCY;14;METRO
48.8333385593, 2.38663240207;COUR SAINT-EMILION;14;METRO
48.8406632293, 2.32638461079;EDGAR QUINET;6;METRO
48.8471500557, 2.26913587273;EGLISE D'AUTEUIL;10;METRO
48.8785141131, 2.38161451194;BUTTES-CHAUMONT;7b;METRO
48.851812133, 2.40102227052;BUZENVAL;9;METRO
48.8751498197, 2.29590490608;CHARLES DE GAULLE ETOILE;1;METRO
48.8785656258, 2.36216007192;CHATEAU-LANDON;7;METRO
48.8583823703, 2.34756482975;CHATELET;4;METRO
48.8549363766, 2.34732131573;CITE;4;METRO
48.8447947646, 2.29395196364;COMMERCE;8;METRO
48.866818369, 2.32208284869;CONCORDE;8;METRO
48.8270854489, 2.27941168205;CORENTIN-CELTON;12;METRO
48.831129548, 2.34351165775;GLACIERE;6;METRO
48.9149497564, 2.40440908743;FORT D'AUBERVILLIERS;7;METRO
48.8427467798, 2.29191241332;FELIX FAURE;8;METRO
48.8422653865, 2.36533865297;AUSTERLITZ;5;METRO
48.8444086721, 2.39007511282;MONTGALLET;8;METRO
48.8871839469, 2.32577967481;LA FOURCHE;13;METRO
48.8493505536, 2.29830140173;LA MOTTE-PICQUET-GRENELLE;10;METRO
48.8493505536, 2.29830140173;LA MOTTE-PICQUET-GRENELLE;8;METRO
48.8796347607, 2.32702220089;LIEGE;13;METRO
48.8608062913, 2.34110859163;LOUVRE-RIVOLI;1;METRO
48.869633173, 2.32627227403;MADELEINE;8;METRO
48.879761254, 2.41647964367;MAIRIE DES LILAS;11;METRO
48.8026376907, 2.44692748424;MAISONS-ALFORT-LES JUILLIOTTES;8;METRO
